Name,Location,Mode of Delivery,Global Ranking,Institution Type
South Carolina State University,"Orangeburg, United States",Online / On campus / Blended,Not ranked,Public
Hawai'i Pacific University,"Honolulu, United States",Online / On campus,Not ranked,Private
Iona College,"New York City, United States",On campus,Not ranked,Private
Mercy University,"Dobbs Ferry, United States",Online / On campus / Blended,Not ranked,Private
California Institute of the Arts CalArts,"Santa Clarita, United States",On campus,Not ranked,Private
Villanova University,"Plymouth Meeting, United States",Online / On campus / Blended,1573,Private
Harvard University,Multiple locations,Online / On campus,1,Private
Johns Hopkins University,Multiple locations,Online / On campus / Blended,15,Private
Bowling Green State University,"Bowling Green, United States",Online / On campus / Blended,1421,Public
Clemson University,"Clemson, United States",Online / On campus / Blended,663,Public
University at Albany,"Albany, United States",Online / On campus / Blended,514,Public
University of Maryland Eastern Shore,"Salisbury, United States",Online / On campus,Not ranked,Public
University of Oregon,"Eugene, United States",Online / On campus,685,Unknown
Middle Tennessee State University,"Murfreesboro, United States",Online / On campus / Blended,Not ranked,Public
Virginia Tech,Multiple locations,Online / On campus / Blended,249,Public
Cleveland State University (CSU),"Cleveland, United States",Online / On campus,1922,Public
Rochester Institute of Technology,"Rochester, United States",Online / On campus,917,Private
Western Washington University,"Bellingham, United States",On campus / Blended,1739,Public
North Dakota State University,"Fargo, United States",Online / On campus,1821,Public
University of Dayton,Multiple locations,Online / On campus / Blended,1436,Private
University of Wisconsin-Superior,"Superior, United States",Online,Not ranked,Public
University of Denver,Multiple locations,Online / On campus / Blended,691,Public
Shepherd University,"Shepherdstown, United States",Online / On campus / Blended,Not ranked,Public
University of Central Missouri,Multiple locations,Online / On campus / Blended,Not ranked,Public
University of Illinois Springfield,"Springfield, United States",Online / On campus / Blended,Not ranked,Public
Montana Technological University,"Butte, United States",Online / On campus,Not ranked,Public
University of North Carolina Wilmington,"Wilmington, United States",Online / On campus,1687,Public
Kettering University,Multiple locations,"Louisville, United States",Not ranked,Private
Bellarmine University,"Louisville, United States",Online / On campus / Blended,Not ranked,Private
Assumption University,"Worcester, United States",Online / On campus / Blended,Not ranked,Private
Juniata College,"Huntingdon, United States",Online / On campus / Blended,Not ranked,Private
University of Southern Mississippi,"Hattiesburg, United States",Online / On campus,2053,Public
The University of Texas Health Science Center at Houston,"Houston, United States",Online / On campus / Blended,911,Public
University of Mount Olive,"Henderson, United States","Bloomington, United States",Not ranked,Unknown
Bethany Global University,"Bloomington, United States",Online / On campus,Not ranked,Private
Future Generations University,"Franklin, United States",Online,Not ranked,Unknown
Queens University of Charlotte,"Charlotte, United States",Online / On campus / Blended,Not ranked,Public
Oglethorpe University,"Atlanta, United States",On campus,Not ranked,Private
Christian Brothers University,"Memphis, United States",Online / On campus / Blended,Not ranked,Private
Florida Southern College,"Lakeland, United States",Online / On campus / Blended,Not ranked,Private
Five Branches University,"Milpitas, United States",On campus,Not ranked,Private
American College of Education,"Indianapolis, United States",Online,Not ranked,Private
Catholic Theological Union,"Chicago, United States",Online / On campus,Not ranked,Private
Anderson University (South Carolina),Multiple locations,Online / On campus / Blended,Not ranked,Private
Regis College,"Weston, United States",Online / On campus / Blended,Not ranked,Private
Hebrew College,"Newton, United States",Online / On campus,Not ranked,Private
Bay Path University,Multiple locations,Multiple locations,Not ranked,Private
Fresno Pacific University,Multiple locations,Online / On campus / Blended,Not ranked,Private
University of South Carolina Aiken,"Aiken, United States",Online / On campus / Blended,Not ranked,Public
Dominican College,"Blauvelt, United States",Online / On campus,Not ranked,Private
Maharishi International University,"Fairfield, United States",Online / On campus,Not ranked,Private
Saint Vincent College,"Latrobe, United States",Online / On campus / Blended,Not ranked,Private
John Brown University,"Siloam Springs, United States",Online / On campus / Blended,Not ranked,Private
John Carroll University,"University Heights, United States",Online / On campus / Blended,Not ranked,Private
Elmira College,"Elmira, United States",Online / On campus,Not ranked,Private
Roger Williams University,"Bristol, United States",Online / On campus,Not ranked,Public
University of Detroit Mercy,"Highland Park, United States",Online / On campus / Blended,Not ranked,Private
Southeast Missouri State University,"Cape Girardeau, United States",Online / On campus,Not ranked,Public
Baker University,"Ottawa, United States",Online / On campus,Not ranked,Private
Lander University,"Greenwood, United States",Online / On campus / Blended,Not ranked,Public
Oblate School of Theology,"San Antonio, United States",Online / On campus,Not ranked,Unknown
Goddard College,"Barre, United States",On campus,Not ranked,Private
Wingate University,"Wingate, United States",Online / On campus,Not ranked,Private
