Acceptance Rate,Application Deadline,Application Fee,SAT Range,ACT Range,How would you rate on-campus housing?,How would you rate off-campus housing?,How would you rate campus food?,How would you rate campus facilities?,How would you rate class size?,How would you rate school activities?,How would you rate local services?,How would you rate academics?,University Name,Student Life Reviews,General Info,Table,Quick Facts
%,None,0,None,None,0 Students rated on-campus housing 0 stars. 0 % gave the school a 5.0.,0 Students rated off-campus housing 0 stars. 0 % gave the school a 5.0.,0 Students rated campus food 0 stars. 0 % gave the school a 5.0.,0 Students rated campus facilities 0 stars. 0 % gave the school a 5.0.,0 Students rated class size 0 stars. 0 % gave the school a 5.0.,0 Students rated school activities 0 stars. 0 % gave the school a 5.0.,0 Students rated local services 0 stars. 0 % gave the school a 5.0.,0 Students rated academics 0 stars. 0 % gave the school a 5.0.,Louisiana State University-System Office,,,,
63%,None,20,980-1200,21-27,111 Students rated on-campus housing 3.3 stars. 17 % gave the school a 5.0.,80 Students rated off-campus housing 3.7 stars. 0 % gave the school a 5.0.,118 Students rated campus food 3.5 stars. 27 % gave the school a 5.0.,118 Students rated campus facilities 4 stars. 33 % gave the school a 5.0.,118 Students rated class size 4.2 stars. 49 % gave the school a 5.0.,118 Students rated school activities 4 stars. 39 % gave the school a 5.0.,117 Students rated local services 3.8 stars. 35 % gave the school a 5.0.,120 Students rated academics 4.4 stars. 63 % gave the school a 5.0.,Louisiana Tech University,,,,
100%,None,0,None,None,0 Students rated on-campus housing 0 stars. 0 % gave the school a 5.0.,0 Students rated off-campus housing 0 stars. 0 % gave the school a 5.0.,0 Students rated campus food 0 stars. 0 % gave the school a 5.0.,0 Students rated campus facilities 0 stars. 0 % gave the school a 5.0.,0 Students rated class size 0 stars. 0 % gave the school a 5.0.,0 Students rated school activities 0 stars. 0 % gave the school a 5.0.,0 Students rated local services 0 stars. 0 % gave the school a 5.0.,0 Students rated academics 0 stars. 0 % gave the school a 5.0.,Louisiana Technical College-Ascension Campus,,,,
100%,None,0,None,None,0 Students rated on-campus housing 0 stars. 0 % gave the school a 5.0.,0 Students rated off-campus housing 0 stars. 0 % gave the school a 5.0.,0 Students rated campus food 0 stars. 0 % gave the school a 5.0.,0 Students rated campus facilities 0 stars. 0 % gave the school a 5.0.,0 Students rated class size 0 stars. 0 % gave the school a 5.0.,0 Students rated school activities 0 stars. 0 % gave the school a 5.0.,0 Students rated local services 0 stars. 0 % gave the school a 5.0.,0 Students rated academics 0 stars. 0 % gave the school a 5.0.,Louisiana Technical College-Bastrop Campus,,,,
100%,None,0,None,None,0 Students rated on-campus housing 0 stars. 0 % gave the school a 5.0.,0 Students rated off-campus housing 0 stars. 0 % gave the school a 5.0.,0 Students rated campus food 0 stars. 0 % gave the school a 5.0.,0 Students rated campus facilities 0 stars. 0 % gave the school a 5.0.,0 Students rated class size 0 stars. 0 % gave the school a 5.0.,0 Students rated school activities 0 stars. 0 % gave the school a 5.0.,0 Students rated local services 0 stars. 0 % gave the school a 5.0.,0 Students rated academics 0 stars. 0 % gave the school a 5.0.,Louisiana Technical College-Evangeline Campus,,,,
100%,None,0,None,None,0 Students rated on-campus housing 0 stars. 0 % gave the school a 5.0.,0 Students rated off-campus housing 0 stars. 0 % gave the school a 5.0.,0 Students rated campus food 0 stars. 0 % gave the school a 5.0.,0 Students rated campus facilities 0 stars. 0 % gave the school a 5.0.,0 Students rated class size 0 stars. 0 % gave the school a 5.0.,0 Students rated school activities 0 stars. 0 % gave the school a 5.0.,0 Students rated local services 0 stars. 0 % gave the school a 5.0.,0 Students rated academics 0 stars. 0 % gave the school a 5.0.,Louisiana Technical College-Florida Parishes,,,,
100%,None,0,None,None,0 Students rated on-campus housing 0 stars. 0 % gave the school a 5.0.,0 Students rated off-campus housing 0 stars. 0 % gave the school a 5.0.,0 Students rated campus food 0 stars. 0 % gave the school a 5.0.,0 Students rated campus facilities 0 stars. 0 % gave the school a 5.0.,0 Students rated class size 0 stars. 0 % gave the school a 5.0.,0 Students rated school activities 0 stars. 0 % gave the school a 5.0.,0 Students rated local services 0 stars. 0 % gave the school a 5.0.,0 Students rated academics 0 stars. 0 % gave the school a 5.0.,Louisiana Technical College-Gulf Area Campus,,,,
100%,None,0,None,None,0 Students rated on-campus housing 0 stars. 0 % gave the school a 5.0.,0 Students rated off-campus housing 0 stars. 0 % gave the school a 5.0.,0 Students rated campus food 0 stars. 0 % gave the school a 5.0.,0 Students rated campus facilities 0 stars. 0 % gave the school a 5.0.,0 Students rated class size 0 stars. 0 % gave the school a 5.0.,0 Students rated school activities 0 stars. 0 % gave the school a 5.0.,0 Students rated local services 0 stars. 0 % gave the school a 5.0.,0 Students rated academics 0 stars. 0 % gave the school a 5.0.,Louisiana Technical College-Hammond Area Branch Campus,,,,
100%,None,0,None,None,0 Students rated on-campus housing 0 stars. 0 % gave the school a 5.0.,0 Students rated off-campus housing 0 stars. 0 % gave the school a 5.0.,0 Students rated campus food 0 stars. 0 % gave the school a 5.0.,0 Students rated campus facilities 0 stars. 0 % gave the school a 5.0.,0 Students rated class size 0 stars. 0 % gave the school a 5.0.,0 Students rated school activities 0 stars. 0 % gave the school a 5.0.,0 Students rated local services 0 stars. 0 % gave the school a 5.0.,0 Students rated academics 0 stars. 0 % gave the school a 5.0.,Louisiana Technical College-Jefferson Campus,,,,
100%,None,0,None,None,0 Students rated on-campus housing 0 stars. 0 % gave the school a 5.0.,0 Students rated off-campus housing 0 stars. 0 % gave the school a 5.0.,0 Students rated campus food 0 stars. 0 % gave the school a 5.0.,0 Students rated campus facilities 0 stars. 0 % gave the school a 5.0.,0 Students rated class size 0 stars. 0 % gave the school a 5.0.,0 Students rated school activities 0 stars. 0 % gave the school a 5.0.,0 Students rated local services 0 stars. 0 % gave the school a 5.0.,0 Students rated academics 0 stars. 0 % gave the school a 5.0.,Louisiana Technical College-Jumonville Memorial,,,,
100%,None,0,None,None,0 Students rated on-campus housing 0 stars. 0 % gave the school a 5.0.,0 Students rated off-campus housing 0 stars. 0 % gave the school a 5.0.,0 Students rated campus food 0 stars. 0 % gave the school a 5.0.,0 Students rated campus facilities 0 stars. 0 % gave the school a 5.0.,0 Students rated class size 0 stars. 0 % gave the school a 5.0.,0 Students rated school activities 0 stars. 0 % gave the school a 5.0.,0 Students rated local services 0 stars. 0 % gave the school a 5.0.,0 Students rated academics 0 stars. 0 % gave the school a 5.0.,Louisiana Technical College-Northeast LA Branch Campus,,,,
100%,None,0,None,None,0 Students rated on-campus housing 0 stars. 0 % gave the school a 5.0.,0 Students rated off-campus housing 0 stars. 0 % gave the school a 5.0.,0 Students rated campus food 0 stars. 0 % gave the school a 5.0.,0 Students rated campus facilities 0 stars. 0 % gave the school a 5.0.,0 Students rated class size 0 stars. 0 % gave the school a 5.0.,0 Students rated school activities 0 stars. 0 % gave the school a 5.0.,0 Students rated local services 0 stars. 0 % gave the school a 5.0.,0 Students rated academics 0 stars. 0 % gave the school a 5.0.,Louisiana Technical College-Oakdale Campus,,,,
100%,None,0,None,None,0 Students rated on-campus housing 0 stars. 0 % gave the school a 5.0.,0 Students rated off-campus housing 0 stars. 0 % gave the school a 5.0.,0 Students rated campus food 0 stars. 0 % gave the school a 5.0.,0 Students rated campus facilities 0 stars. 0 % gave the school a 5.0.,0 Students rated class size 0 stars. 0 % gave the school a 5.0.,0 Students rated school activities 0 stars. 0 % gave the school a 5.0.,0 Students rated local services 0 stars. 0 % gave the school a 5.0.,0 Students rated academics 0 stars. 0 % gave the school a 5.0.,Louisiana Technical College-Ruston Campus,,,,
100%,None,0,None,None,0 Students rated on-campus housing 0 stars. 0 % gave the school a 5.0.,0 Students rated off-campus housing 0 stars. 0 % gave the school a 5.0.,0 Students rated campus food 0 stars. 0 % gave the school a 5.0.,0 Students rated campus facilities 0 stars. 0 % gave the school a 5.0.,0 Students rated class size 0 stars. 0 % gave the school a 5.0.,0 Students rated school activities 0 stars. 0 % gave the school a 5.0.,0 Students rated local services 0 stars. 0 % gave the school a 5.0.,0 Students rated academics 0 stars. 0 % gave the school a 5.0.,Louisiana Technical College-Sabine Valley Campus,,,,
100%,None,0,None,None,0 Students rated on-campus housing 0 stars. 0 % gave the school a 5.0.,0 Students rated off-campus housing 0 stars. 0 % gave the school a 5.0.,0 Students rated campus food 0 stars. 0 % gave the school a 5.0.,0 Students rated campus facilities 0 stars. 0 % gave the school a 5.0.,0 Students rated class size 0 stars. 0 % gave the school a 5.0.,0 Students rated school activities 0 stars. 0 % gave the school a 5.0.,0 Students rated local services 0 stars. 0 % gave the school a 5.0.,0 Students rated academics 0 stars. 0 % gave the school a 5.0.,Louisiana Technical College-Shelby Jackson Campus,,,,
100%,None,0,None,None,0 Students rated on-campus housing 0 stars. 0 % gave the school a 5.0.,0 Students rated off-campus housing 0 stars. 0 % gave the school a 5.0.,0 Students rated campus food 0 stars. 0 % gave the school a 5.0.,0 Students rated campus facilities 0 stars. 0 % gave the school a 5.0.,0 Students rated class size 0 stars. 0 % gave the school a 5.0.,0 Students rated school activities 0 stars. 0 % gave the school a 5.0.,0 Students rated local services 0 stars. 0 % gave the school a 5.0.,0 Students rated academics 0 stars. 0 % gave the school a 5.0.,Louisiana Technical College-Shreveport-Bossier Campus,,,,
100%,None,0,None,None,0 Students rated on-campus housing 0 stars. 0 % gave the school a 5.0.,0 Students rated off-campus housing 0 stars. 0 % gave the school a 5.0.,0 Students rated campus food 0 stars. 0 % gave the school a 5.0.,0 Students rated campus facilities 0 stars. 0 % gave the school a 5.0.,0 Students rated class size 0 stars. 0 % gave the school a 5.0.,0 Students rated school activities 0 stars. 0 % gave the school a 5.0.,0 Students rated local services 0 stars. 0 % gave the school a 5.0.,0 Students rated academics 0 stars. 0 % gave the school a 5.0.,Louisiana Technical College-T H Harris Campus,,,,
100%,None,0,None,None,0 Students rated on-campus housing 0 stars. 0 % gave the school a 5.0.,0 Students rated off-campus housing 0 stars. 0 % gave the school a 5.0.,0 Students rated campus food 0 stars. 0 % gave the school a 5.0.,0 Students rated campus facilities 0 stars. 0 % gave the school a 5.0.,0 Students rated class size 0 stars. 0 % gave the school a 5.0.,0 Students rated school activities 0 stars. 0 % gave the school a 5.0.,0 Students rated local services 0 stars. 0 % gave the school a 5.0.,0 Students rated academics 0 stars. 0 % gave the school a 5.0.,Louisiana Technical College-Tallulah Campus,,,,
100%,None,0,None,None,0 Students rated on-campus housing 0 stars. 0 % gave the school a 5.0.,0 Students rated off-campus housing 0 stars. 0 % gave the school a 5.0.,0 Students rated campus food 0 stars. 0 % gave the school a 5.0.,0 Students rated campus facilities 0 stars. 0 % gave the school a 5.0.,0 Students rated class size 0 stars. 0 % gave the school a 5.0.,0 Students rated school activities 0 stars. 0 % gave the school a 5.0.,0 Students rated local services 0 stars. 0 % gave the school a 5.0.,0 Students rated academics 0 stars. 0 % gave the school a 5.0.,Louisiana Technical College-Teche Area Campus,,,,
100%,None,0,None,None,0 Students rated on-campus housing 0 stars. 0 % gave the school a 5.0.,0 Students rated off-campus housing 0 stars. 0 % gave the school a 5.0.,0 Students rated campus food 0 stars. 0 % gave the school a 5.0.,0 Students rated campus facilities 0 stars. 0 % gave the school a 5.0.,0 Students rated class size 0 stars. 0 % gave the school a 5.0.,0 Students rated school activities 0 stars. 0 % gave the school a 5.0.,0 Students rated local services 0 stars. 0 % gave the school a 5.0.,0 Students rated academics 0 stars. 0 % gave the school a 5.0.,Louisiana Technical College-West Jefferson Campus,,,,
67%,None,20,1020-1240,23-29,79 Students rated on-campus housing 3.4 stars. 6 % gave the school a 5.0.,71 Students rated off-campus housing 3.3 stars. 0 % gave the school a 5.0.,97 Students rated campus food 3.3 stars. 18 % gave the school a 5.0.,97 Students rated campus facilities 4 stars. 34 % gave the school a 5.0.,97 Students rated class size 4.6 stars. 72 % gave the school a 5.0.,96 Students rated school activities 4 stars. 42 % gave the school a 5.0.,100 Students rated local services 4.1 stars. 41 % gave the school a 5.0.,98 Students rated academics 4.1 stars. 46 % gave the school a 5.0.,Loyola University New Orleans,,,,
100%,None,40,None,None,,,,,,,,,McCann School of Business & Technology-Monroe,None,,,
100%,None,40,None,None,,,,,,,,,McCann School of Business & Technology-Shreveport,None,,,
63%,None,20,890-1110,20-24,60 Students rated on-campus housing 3.4 stars. 25 % gave the school a 5.0.,52 Students rated off-campus housing 3.4 stars. 0 % gave the school a 5.0.,68 Students rated campus food 3.1 stars. 24 % gave the school a 5.0.,75 Students rated campus facilities 3.5 stars. 24 % gave the school a 5.0.,75 Students rated class size 4.2 stars. 45 % gave the school a 5.0.,75 Students rated school activities 3.6 stars. 32 % gave the school a 5.0.,75 Students rated local services 4.2 stars. 52 % gave the school a 5.0.,76 Students rated academics 3.8 stars. 39 % gave the school a 5.0.,McNeese State University,,,,
100%,None,0,None,None,,,,,,,,,Medical Training College,None,,,
100%,None,100,None,None,,,,,,,,,Mid City College,None,,,
100%,None,100,None,None,,,,,,,,,Moore Career College,None,,,
100%,None,150,None,None,,,,,,,,,My Le’s Beauty College-Gretna,None,,,
100%,None,35,None,None,2 Students rated on-campus housing 3 stars. 50 % gave the school a 5.0.,1 Students rated off-campus housing 4 stars. 0 % gave the school a 5.0.,2 Students rated campus food 4 stars. 50 % gave the school a 5.0.,4 Students rated campus facilities 3.5 stars. 25 % gave the school a 5.0.,4 Students rated class size 4 stars. 50 % gave the school a 5.0.,4 Students rated school activities 2.5 stars. 25 % gave the school a 5.0.,4 Students rated local services 4.5 stars. 50 % gave the school a 5.0.,4 Students rated academics 5 stars. 100 % gave the school a 5.0.,New Orleans Baptist Theological Seminary,,,,
82%,None,20,945-1134,20-24,46 Students rated on-campus housing 4 stars. 28 % gave the school a 5.0.,31 Students rated off-campus housing 3.8 stars. 0 % gave the school a 5.0.,52 Students rated campus food 3.9 stars. 40 % gave the school a 5.0.,54 Students rated campus facilities 4.3 stars. 44 % gave the school a 5.0.,54 Students rated class size 4.5 stars. 63 % gave the school a 5.0.,54 Students rated school activities 4.1 stars. 39 % gave the school a 5.0.,54 Students rated local services 4.1 stars. 46 % gave the school a 5.0.,54 Students rated academics 4.4 stars. 56 % gave the school a 5.0.,Nicholls State University,,,,
100%,None,15,None,None,0 Students rated on-campus housing 0 stars. 0 % gave the school a 5.0.,0 Students rated off-campus housing 0 stars. 0 % gave the school a 5.0.,0 Students rated campus food 0 stars. 0 % gave the school a 5.0.,0 Students rated campus facilities 0 stars. 0 % gave the school a 5.0.,0 Students rated class size 0 stars. 0 % gave the school a 5.0.,0 Students rated school activities 0 stars. 0 % gave the school a 5.0.,0 Students rated local services 0 stars. 0 % gave the school a 5.0.,0 Students rated academics 0 stars. 0 % gave the school a 5.0.,Northeast Louisiana Technical College,,,,
100%,None,0,None,None,2 Students rated on-campus housing 4 stars. 50 % gave the school a 5.0.,0 Students rated off-campus housing 5 stars. 0 % gave the school a 5.0.,2 Students rated campus food 5 stars. 100 % gave the school a 5.0.,2 Students rated campus facilities 5 stars. 50 % gave the school a 5.0.,2 Students rated class size 4 stars. 0 % gave the school a 5.0.,2 Students rated school activities 4 stars. 50 % gave the school a 5.0.,2 Students rated local services 5 stars. 100 % gave the school a 5.0.,2 Students rated academics 5 stars. 50 % gave the school a 5.0.,Northshore Technical Community College,,,,
100%,None,0,None,None,0 Students rated on-campus housing 0 stars. 0 % gave the school a 5.0.,0 Students rated off-campus housing 0 stars. 0 % gave the school a 5.0.,0 Students rated campus food 0 stars. 0 % gave the school a 5.0.,0 Students rated campus facilities 0 stars. 0 % gave the school a 5.0.,0 Students rated class size 0 stars. 0 % gave the school a 5.0.,0 Students rated school activities 0 stars. 0 % gave the school a 5.0.,0 Students rated local services 0 stars. 0 % gave the school a 5.0.,0 Students rated academics 0 stars. 0 % gave the school a 5.0.,Northwest Louisiana Technical College,,,,
100%,None,0,None,None,0 Students rated on-campus housing 0 stars. 0 % gave the school a 5.0.,0 Students rated off-campus housing 0 stars. 0 % gave the school a 5.0.,0 Students rated campus food 0 stars. 0 % gave the school a 5.0.,0 Students rated campus facilities 0 stars. 0 % gave the school a 5.0.,0 Students rated class size 0 stars. 0 % gave the school a 5.0.,0 Students rated school activities 0 stars. 0 % gave the school a 5.0.,0 Students rated local services 0 stars. 0 % gave the school a 5.0.,0 Students rated academics 0 stars. 0 % gave the school a 5.0.,Northwest Louisiana Technical College-Natchitoches Campus,,,,
61%,None,20,880-1100,19-24,96 Students rated on-campus housing 3.6 stars. 21 % gave the school a 5.0.,71 Students rated off-campus housing 3.6 stars. 0 % gave the school a 5.0.,101 Students rated campus food 3.3 stars. 21 % gave the school a 5.0.,103 Students rated campus facilities 3.9 stars. 28 % gave the school a 5.0.,103 Students rated class size 4.3 stars. 45 % gave the school a 5.0.,103 Students rated school activities 4.2 stars. 40 % gave the school a 5.0.,102 Students rated local services 4.1 stars. 37 % gave the school a 5.0.,103 Students rated academics 4.3 stars. 54 % gave the school a 5.0.,Northwestern State University of Louisiana,,,,
%,None,40,None,None,0 Students rated on-campus housing 0 stars. 0 % gave the school a 5.0.,0 Students rated off-campus housing 0 stars. 0 % gave the school a 5.0.,0 Students rated campus food 0 stars. 0 % gave the school a 5.0.,0 Students rated campus facilities 0 stars. 0 % gave the school a 5.0.,0 Students rated class size 0 stars. 0 % gave the school a 5.0.,0 Students rated school activities 0 stars. 0 % gave the school a 5.0.,0 Students rated local services 0 stars. 0 % gave the school a 5.0.,0 Students rated academics 0 stars. 0 % gave the school a 5.0.,Notre Dame Seminary Graduate School of Theology,,,,
100%,None,20,None,None,2 Students rated on-campus housing 2 stars. 0 % gave the school a 5.0.,2 Students rated off-campus housing 3 stars. 0 % gave the school a 5.0.,5 Students rated campus food 2.2 stars. 0 % gave the school a 5.0.,5 Students rated campus facilities 3.5 stars. 40 % gave the school a 5.0.,5 Students rated class size 3.3 stars. 40 % gave the school a 5.0.,5 Students rated school activities 2.5 stars. 0 % gave the school a 5.0.,5 Students rated local services 3.3 stars. 40 % gave the school a 5.0.,5 Students rated academics 3.5 stars. 20 % gave the school a 5.0.,Nunez Community College,,,,
100%,None,100,None,None,,,,,,,,,Omega Institute of Cosmetology,None,,,
100%,None,0,None,None,0 Students rated on-campus housing 0 stars. 0 % gave the school a 5.0.,0 Students rated off-campus housing 0 stars. 0 % gave the school a 5.0.,0 Students rated campus food 0 stars. 0 % gave the school a 5.0.,0 Students rated campus facilities 0 stars. 0 % gave the school a 5.0.,0 Students rated class size 0 stars. 0 % gave the school a 5.0.,0 Students rated school activities 0 stars. 0 % gave the school a 5.0.,0 Students rated local services 0 stars. 0 % gave the school a 5.0.,0 Students rated academics 0 stars. 0 % gave the school a 5.0.,Opelousas School of Cosmetology,,,,
53%,None,35,None,20-23,5 Students rated on-campus housing 1 stars. 0 % gave the school a 5.0.,3 Students rated off-campus housing 4 stars. 0 % gave the school a 5.0.,6 Students rated campus food 3.5 stars. 33 % gave the school a 5.0.,6 Students rated campus facilities 4.5 stars. 50 % gave the school a 5.0.,7 Students rated class size 5 stars. 71 % gave the school a 5.0.,6 Students rated school activities 3 stars. 17 % gave the school a 5.0.,6 Students rated local services 4 stars. 50 % gave the school a 5.0.,7 Students rated academics 4.5 stars. 57 % gave the school a 5.0.,Our Lady of the Lake College,,,,
100%,None,100,None,None,,,,,,,,,Park Place Premier Barber School,None,,,
100%,None,0,None,None,0 Students rated on-campus housing 0 stars. 0 % gave the school a 5.0.,0 Students rated off-campus housing 0 stars. 0 % gave the school a 5.0.,0 Students rated campus food 0 stars. 0 % gave the school a 5.0.,0 Students rated campus facilities 0 stars. 0 % gave the school a 5.0.,0 Students rated class size 0 stars. 0 % gave the school a 5.0.,0 Students rated school activities 0 stars. 0 % gave the school a 5.0.,0 Students rated local services 0 stars. 0 % gave the school a 5.0.,0 Students rated academics 0 stars. 0 % gave the school a 5.0.,Pat Goins Benton Road Beauty School,,,,
100%,None,0,None,None,0 Students rated on-campus housing 0 stars. 0 % gave the school a 5.0.,0 Students rated off-campus housing 0 stars. 0 % gave the school a 5.0.,0 Students rated campus food 0 stars. 0 % gave the school a 5.0.,0 Students rated campus facilities 0 stars. 0 % gave the school a 5.0.,0 Students rated class size 0 stars. 0 % gave the school a 5.0.,0 Students rated school activities 0 stars. 0 % gave the school a 5.0.,0 Students rated local services 0 stars. 0 % gave the school a 5.0.,0 Students rated academics 0 stars. 0 % gave the school a 5.0.,Pat Goins Ruston Beauty School,,,,
100%,None,100,None,None,0 Students rated on-campus housing 0 stars. 0 % gave the school a 5.0.,0 Students rated off-campus housing 0 stars. 0 % gave the school a 5.0.,0 Students rated campus food 0 stars. 0 % gave the school a 5.0.,0 Students rated campus facilities 0 stars. 0 % gave the school a 5.0.,0 Students rated class size 0 stars. 0 % gave the school a 5.0.,0 Students rated school activities 0 stars. 0 % gave the school a 5.0.,0 Students rated local services 0 stars. 0 % gave the school a 5.0.,0 Students rated academics 0 stars. 0 % gave the school a 5.0.,Pineville Beauty School,,,,
%,None,0,None,None,,,,,,,,,Regency Beauty Institute-Shreveport,None,,,
%,None,0,None,None,,,,,,,,,Relay Graduate School of Education – Baton Rouge,None,,,
%,None,0,None,None,,,,,,,,,Remington College-Baton Rouge Campus,None,,,
%,None,0,None,None,0 Students rated on-campus housing 0 stars. 0 % gave the school a 5.0.,1 Students rated off-campus housing 0 stars. 0 % gave the school a 5.0.,0 Students rated campus food 0 stars. 0 % gave the school a 5.0.,1 Students rated campus facilities 0 stars. 0 % gave the school a 5.0.,1 Students rated class size 0 stars. 100 % gave the school a 5.0.,0 Students rated school activities 0 stars. 0 % gave the school a 5.0.,1 Students rated local services 0 stars. 100 % gave the school a 5.0.,1 Students rated academics 0 stars. 100 % gave the school a 5.0.,Remington College-Lafayette Campus,,,,
%,None,0,None,None,,,,,,,,,Remington College-Shreveport Campus,None,,,
100%,None,0,None,None,,,,,,,,,River Parishes Community College,None,,,
100%,None,0,None,None,0 Students rated on-campus housing 0 stars. 0 % gave the school a 5.0.,0 Students rated off-campus housing 0 stars. 0 % gave the school a 5.0.,0 Students rated campus food 0 stars. 0 % gave the school a 5.0.,0 Students rated campus facilities 0 stars. 0 % gave the school a 5.0.,0 Students rated class size 0 stars. 0 % gave the school a 5.0.,0 Students rated school activities 0 stars. 0 % gave the school a 5.0.,0 Students rated local services 0 stars. 0 % gave the school a 5.0.,0 Students rated academics 0 stars. 0 % gave the school a 5.0.,Saint Joseph Seminary College,,,,
100%,None,110,None,None,,,,,,,,,Setting the Standard Barbering and Natural Hair Academy,None,,,
100%,None,0,None,None,0 Students rated on-campus housing 0 stars. 0 % gave the school a 5.0.,0 Students rated off-campus housing 0 stars. 0 % gave the school a 5.0.,0 Students rated campus food 0 stars. 0 % gave the school a 5.0.,0 Students rated campus facilities 0 stars. 0 % gave the school a 5.0.,0 Students rated class size 0 stars. 0 % gave the school a 5.0.,0 Students rated school activities 0 stars. 0 % gave the school a 5.0.,0 Students rated local services 0 stars. 0 % gave the school a 5.0.,0 Students rated academics 0 stars. 0 % gave the school a 5.0.,South Central Louisiana Technical College,,,,
100%,None,0,None,None,0 Students rated on-campus housing 0 stars. 0 % gave the school a 5.0.,0 Students rated off-campus housing 0 stars. 0 % gave the school a 5.0.,0 Students rated campus food 0 stars. 0 % gave the school a 5.0.,0 Students rated campus facilities 0 stars. 0 % gave the school a 5.0.,0 Students rated class size 0 stars. 0 % gave the school a 5.0.,0 Students rated school activities 0 stars. 0 % gave the school a 5.0.,0 Students rated local services 0 stars. 0 % gave the school a 5.0.,0 Students rated academics 0 stars. 0 % gave the school a 5.0.,South Central Louisiana Technical College-Lafourche Campus,,,,
100%,None,0,None,None,0 Students rated on-campus housing 0 stars. 0 % gave the school a 5.0.,0 Students rated off-campus housing 0 stars. 0 % gave the school a 5.0.,0 Students rated campus food 0 stars. 0 % gave the school a 5.0.,0 Students rated campus facilities 0 stars. 0 % gave the school a 5.0.,0 Students rated class size 0 stars. 0 % gave the school a 5.0.,0 Students rated school activities 0 stars. 0 % gave the school a 5.0.,0 Students rated local services 0 stars. 0 % gave the school a 5.0.,0 Students rated academics 0 stars. 0 % gave the school a 5.0.,South Central Louisiana Technical College-River Parishes Campus,,,,
100%,None,0,None,None,0 Students rated on-campus housing 0 stars. 0 % gave the school a 5.0.,0 Students rated off-campus housing 0 stars. 0 % gave the school a 5.0.,0 Students rated campus food 0 stars. 0 % gave the school a 5.0.,0 Students rated campus facilities 0 stars. 0 % gave the school a 5.0.,0 Students rated class size 0 stars. 0 % gave the school a 5.0.,0 Students rated school activities 0 stars. 0 % gave the school a 5.0.,0 Students rated local services 0 stars. 0 % gave the school a 5.0.,0 Students rated academics 0 stars. 0 % gave the school a 5.0.,South Louisiana Beauty College,,,,
100%,None,0,None,None,,,,,,,,,South Louisiana Community College,None,,,
87%,None,20,None,19-24,101 Students rated on-campus housing 3.7 stars. 29 % gave the school a 5.0.,76 Students rated off-campus housing 3.4 stars. 0 % gave the school a 5.0.,115 Students rated campus food 3.8 stars. 34 % gave the school a 5.0.,118 Students rated campus facilities 4 stars. 32 % gave the school a 5.0.,118 Students rated class size 4.3 stars. 48 % gave the school a 5.0.,118 Students rated school activities 3.7 stars. 27 % gave the school a 5.0.,117 Students rated local services 3.9 stars. 36 % gave the school a 5.0.,118 Students rated academics 4.1 stars. 46 % gave the school a 5.0.,Southeastern Louisiana University,,,,
%,None,0,None,None,,,,,,,,,Southeastern Louisiana University – EBR Parish School System Prof Dev,None,,,
%,None,0,None,None,,,,,,,,,Southeastern Louisiana University – St Amant High School,None,,,
98%,None,25,845-1095,20-27,107 Students rated on-campus housing 3.5 stars. 27 % gave the school a 5.0.,72 Students rated off-campus housing 3.5 stars. 0 % gave the school a 5.0.,111 Students rated campus food 3.6 stars. 35 % gave the school a 5.0.,114 Students rated campus facilities 3.6 stars. 25 % gave the school a 5.0.,114 Students rated class size 4.3 stars. 47 % gave the school a 5.0.,114 Students rated school activities 3.9 stars. 48 % gave the school a 5.0.,114 Students rated local services 3.7 stars. 41 % gave the school a 5.0.,113 Students rated academics 4.1 stars. 51 % gave the school a 5.0.,Southern University and A & M College,,,,
11%,None,20,None,16-19,7 Students rated on-campus housing 3.2 stars. 43 % gave the school a 5.0.,6 Students rated off-campus housing 3.3 stars. 0 % gave the school a 5.0.,8 Students rated campus food 3 stars. 38 % gave the school a 5.0.,8 Students rated campus facilities 2.7 stars. 13 % gave the school a 5.0.,8 Students rated class size 3.6 stars. 13 % gave the school a 5.0.,8 Students rated school activities 3 stars. 13 % gave the school a 5.0.,8 Students rated local services 3.3 stars. 25 % gave the school a 5.0.,8 Students rated academics 3.3 stars. 25 % gave the school a 5.0.,Southern University at New Orleans,,,,
100%,None,20,None,None,6 Students rated on-campus housing 3.7 stars. 33 % gave the school a 5.0.,2 Students rated off-campus housing 4.7 stars. 0 % gave the school a 5.0.,6 Students rated campus food 4 stars. 17 % gave the school a 5.0.,6 Students rated campus facilities 4.3 stars. 50 % gave the school a 5.0.,6 Students rated class size 4.7 stars. 67 % gave the school a 5.0.,6 Students rated school activities 4.5 stars. 67 % gave the school a 5.0.,6 Students rated local services 3.8 stars. 17 % gave the school a 5.0.,6 Students rated academics 4.7 stars. 67 % gave the school a 5.0.,Southern University at Shreveport,,,,
%,None,0,None,None,,,,,,,,,Southern University Law Center,None,,,
%,None,0,None,None,0 Students rated on-campus housing 0 stars. 0 % gave the school a 5.0.,0 Students rated off-campus housing 0 stars. 0 % gave the school a 5.0.,0 Students rated campus food 0 stars. 0 % gave the school a 5.0.,0 Students rated campus facilities 0 stars. 0 % gave the school a 5.0.,0 Students rated class size 0 stars. 0 % gave the school a 5.0.,0 Students rated school activities 0 stars. 0 % gave the school a 5.0.,0 Students rated local services 0 stars. 0 % gave the school a 5.0.,0 Students rated academics 0 stars. 0 % gave the school a 5.0.,Southern University-Board and System,,,,
